    nm         	mV
1.738282e+001	-7.012500e+002
1.728516e+001	-7.020000e+002
1.718750e+001	-7.020000e+002
1.708985e+001	-7.023750e+002
1.699219e+001	-7.023750e+002
1.689453e+001	-7.027500e+002
1.679688e+001	-6.990000e+002
1.669922e+001	-6.986250e+002
1.660156e+001	-6.982500e+002
1.650390e+001	-6.986250e+002
1.640625e+001	-6.986250e+002
1.630859e+001	-6.986250e+002
1.621093e+001	-6.986250e+002
1.611328e+001	-6.990000e+002
1.601562e+001	-6.986250e+002
1.591796e+001	-6.986250e+002
1.582031e+001	-6.990000e+002
1.572265e+001	-6.986250e+002
1.562499e+001	-6.990000e+002
1.552733e+001	-6.986250e+002
1.542968e+001	-6.986250e+002
1.533202e+001	-6.990000e+002
1.523436e+001	-6.986250e+002
1.513671e+001	-6.990000e+002
1.503905e+001	-6.986250e+002
1.494139e+001	-6.990000e+002
1.484374e+001	-6.986250e+002
1.474608e+001	-6.990000e+002
1.464842e+001	-6.986250e+002
1.455077e+001	-6.986250e+002
1.445311e+001	-6.986250e+002
1.435546e+001	-6.990000e+002
1.425780e+001	-6.990000e+002
1.416014e+001	-6.990000e+002
1.406249e+001	-6.986250e+002
1.396483e+001	-6.990000e+002
1.386717e+001	-6.993750e+002
1.376952e+001	-6.990000e+002
1.367186e+001	-6.986250e+002
1.357421e+001	-6.990000e+002
1.347655e+001	-6.990000e+002
1.337889e+001	-6.993750e+002
1.328124e+001	-6.990000e+002
1.318358e+001	-6.993750e+002
1.308593e+001	-6.993750e+002
1.298827e+001	-6.993750e+002
1.289061e+001	-6.993750e+002
1.279296e+001	-6.993750e+002
1.269530e+001	-6.993750e+002
1.259765e+001	-6.997500e+002
1.249999e+001	-6.993750e+002
1.240233e+001	-6.997500e+002
1.230468e+001	-6.993750e+002
1.220702e+001	-6.993750e+002
1.210937e+001	-6.997500e+002
1.201171e+001	-6.993750e+002
1.191405e+001	-6.993750e+002
1.181640e+001	-6.997500e+002
1.171874e+001	-6.993750e+002
1.162108e+001	-6.997500e+002
